DEDICATION TO THE ENGLISH NATION.txt /Users/Sean/Documents/College/Research/Thomas Paine/Test Files/Junius/DEDICATION TO THE ENGLISH NATION.txt
Canonicizers: none
EventDriver: Lexical Frequencies 
Analysis: WEKA Multilayer Perceptron 
1. Hopkinson 0.6341777893035868
2. Adams 0.2335040695591871
3. Paine 0.06094730147349371
4. Mackintosh 0.05304244059971289
5. Moore 0.010228605880288772
6. Priestley 0.004367293618919312
7. Francis 6.889212103897111E-4
8. Burgh 5.44048283215158E-4
9. Wilkes 4.363088970574874E-4
10. Wesley 3.7863655927061095E-4
11. Witherspoon 3.78338548485032E-4
12. Price 1.4326550588884108E-4
13. Wollstonecraft 1.4009274824599386E-4
14. Lafayette 3.5476267838321194E-5
15. Hopkins 2.515516743650323E-5
16. Spence 1.4063016120888882E-5
17. Ogilvie 1.3781607217140431E-5
18. Burke 9.704933640714208E-6
19. Rush 3.317584815454899E-6
20. Franklin 2.132890687455988E-6
21. Cassandra 1.024335745962146E-6
22. Cartwright 9.518310323047785E-7
23. Dickinson 7.846440144126746E-7
24. Macauley 2.3721225391778422E-7
25. Jefferson 5.0773419844623203E-8
26. Benezet 3.445795453710014E-8
27. Woolman 3.101364164520452E-8


junius letters X and XI.txt /Users/Sean/Documents/College/Research/Thomas Paine/Test Files/Junius/junius letters X and XI.txt
Canonicizers: none
EventDriver: Lexical Frequencies 
Analysis: WEKA Multilayer Perceptron 
1. Paine 0.5340285290248123
2. Hopkinson 0.37364369115953566
3. Francis 0.02464457246082275
4. Spence 0.014249515522766694
5. Wesley 0.012160657629398164
6. Moore 0.00993338945673685
7. Mackintosh 0.0074694423675332805
8. Burgh 0.005730360228606153
9. Burke 0.004341027811922192
10. Cassandra 0.004287018632451994
11. Jefferson 0.003176639990269749
12. Hopkins 0.0012652878133945237
13. Adams 9.815374523608389E-4
14. Macauley 5.289239494215385E-4
15. Wollstonecraft 2.5169148156353223E-4
16. Wilkes 2.2501277040825812E-4
17. Lafayette 1.6929204520811333E-4
18. Priestley 8.408556213561917E-5
19. Ogilvie 7.926050203703821E-5
20. Rush 7.137471522691087E-5
21. Benezet 6.083955577439244E-5
22. Price 1.551794415883905E-5
23. Woolman 2.2578155654337286E-6
24. Witherspoon 6.908632672725294E-7
25. Dickinson 3.6052524612365625E-7
26. Franklin 1.0024462936765068E-7
27. Cartwright 1.6158139511998977E-8


Letter I.txt /Users/Sean/Documents/College/Research/Thomas Paine/Test Files/Junius/Letter I.txt
Canonicizers: none
EventDriver: Lexical Frequencies 
Analysis: WEKA Multilayer Perceptron 
1. Adams 0.48122859468541734
2. Paine 0.19941804992881612
3. Mackintosh 0.1590521980608999
4. Moore 0.06352754766737716
5. Spence 0.06198753873979166
6. Burgh 0.010902057398047983
7. Francis 0.006223707469850779
8. Priestley 0.005510837234418116
9. Price 0.0018545809116873749
10. Hopkinson 0.0016412787441006397
11. Wilkes 0.0011671567615686084
12. Ogilvie 7.249760807664986E-4
13. Burke 2.5061306893796656E-4
14. Cartwright 2.1641882093264412E-4
15. Wesley 2.146784857417644E-4
16. Rush 1.2745714555232563E-4
17. Wollstonecraft 7.643590394047092E-5
18. Hopkins 7.401902689060297E-5
19. Franklin 6.221749376611865E-5
20. Jefferson 5.615382272280611E-5
21. Cassandra 4.892016168504488E-5
22. Lafayette 4.2037077760372025E-5
23. Benezet 3.493104929538474E-5
24. Macauley 4.547123492302496E-6
25. Witherspoon 2.5570247927684054E-6
26. Dickinson 3.1978731642848113E-7
27. Woolman 4.2833819879017596E-8


Letter III.txt /Users/Sean/Documents/College/Research/Thomas Paine/Test Files/Junius/Letter III.txt
Canonicizers: none
EventDriver: Lexical Frequencies 
Analysis: WEKA Multilayer Perceptron 
1. Francis 0.8737526756403147
2. Burgh 0.08005526421942487
3. Rush 0.013136709069807647
4. Burke 0.009611421456637119
5. Paine 0.008877174338934314
6. Moore 0.006568023066482539
7. Lafayette 0.0018850199470609836
8. Wesley 0.0015878381951438634
9. Spence 0.0011963590724555849
10. Wilkes 0.0011826684685722136
11. Jefferson 3.1278208747925344E-4
12. Cassandra 2.663182618786323E-4
13. Adams 1.9891267783942205E-4
14. Priestley 1.4989975277614353E-4
15. Hopkins 9.793760432107842E-5
16. Price 2.5822325930884798E-5
17. Mackintosh 2.2107538651096786E-5
18. Woolman 2.203240408227897E-5
19. Benezet 2.1767196474729647E-5
20. Macauley 1.6924044216031287E-5
21. Franklin 1.1697158168926742E-5
22. Witherspoon 4.961409740594354E-6
23. Wollstonecraft 2.435925382655086E-6
24. Ogilvie 6.204776178709983E-7
25. Cartwright 6.592217980258185E-8
26. Hopkinson 4.089244400986919E-8
27. Dickinson 1.20234736071482E-8
