DEDICATION TO THE ENGLISH NATION.txt /Users/Sean/Documents/College/Research/Thomas Paine/Test Files/Junius/DEDICATION TO THE ENGLISH NATION.txt
Canonicizers: none
EventDriver: Lexical Frequencies 
Analysis: WEKA SMO r : Polynomial, c : 1, e : 1, f : false, v : -1, g : 0.01, n : normalize, o : false 
1. Adams 0.07142857142857142
2. Hopkinson 0.06878306878306878
3. Paine 0.06613756613756613
4. Price 0.06349206349206349
5. Cartwright 0.06084656084656084
6. Priestley 0.05555555555555555
7. Wilkes 0.05291005291005291
7. Mackintosh 0.05291005291005291
9. Burke 0.05026455026455026
10. Burgh 0.047619047619047616
10. Moore 0.047619047619047616
12. Ogilvie 0.03968253968253968
12. Wesley 0.03968253968253968
12. Franklin 0.03968253968253968
15. Wollstonecraft 0.03439153439153439
16. Jefferson 0.031746031746031744
17. Dickinson 0.0291005291005291
18. Witherspoon 0.026455026455026454
19. Spence 0.021164021164021163
19. Cassandra 0.021164021164021163
21. Macauley 0.018518518518518517
21. Francis 0.018518518518518517
23. Rush 0.015873015873015872
24. Benezet 0.010582010582010581
25. Lafayette 0.007936507936507936
26. Hopkins 0.005291005291005291
27. Woolman 0.0026455026455026454


junius letters X and XI.txt /Users/Sean/Documents/College/Research/Thomas Paine/Test Files/Junius/junius letters X and XI.txt
Canonicizers: none
EventDriver: Lexical Frequencies 
Analysis: WEKA SMO r : Polynomial, c : 1, e : 1, f : false, v : -1, g : 0.01, n : normalize, o : false 
1. Hopkinson 0.07142857142857142
2. Paine 0.06878306878306878
3. Burke 0.06613756613756613
4. Wilkes 0.05555555555555555
4. Burgh 0.05555555555555555
6. Jefferson 0.05291005291005291
6. Adams 0.05291005291005291
6. Priestley 0.05291005291005291
9. Francis 0.05026455026455026
10. Spence 0.047619047619047616
11. Cassandra 0.04497354497354497
12. Cartwright 0.042328042328042326
13. Wesley 0.03968253968253968
14. Benezet 0.03439153439153439
14. Price 0.03439153439153439
14. Moore 0.03439153439153439
14. Franklin 0.03439153439153439
18. Witherspoon 0.031746031746031744
19. Macauley 0.023809523809523808
19. Mackintosh 0.023809523809523808
21. Wollstonecraft 0.018518518518518517
21. Dickinson 0.018518518518518517
23. Ogilvie 0.015873015873015872
24. Lafayette 0.013227513227513227
25. Rush 0.007936507936507936
26. Hopkins 0.005291005291005291
27. Woolman 0.0026455026455026454


Letter I.txt /Users/Sean/Documents/College/Research/Thomas Paine/Test Files/Junius/Letter I.txt
Canonicizers: none
EventDriver: Lexical Frequencies 
Analysis: WEKA SMO r : Polynomial, c : 1, e : 1, f : false, v : -1, g : 0.01, n : normalize, o : false 
1. Adams 0.07142857142857142
2. Paine 0.06613756613756613
2. Hopkinson 0.06613756613756613
4. Burgh 0.06349206349206349
5. Mackintosh 0.06084656084656084
6. Burke 0.05555555555555555
6. Cartwright 0.05555555555555555
8. Priestley 0.05026455026455026
8. Moore 0.05026455026455026
10. Jefferson 0.047619047619047616
11. Wilkes 0.04497354497354497
12. Spence 0.042328042328042326
13. Price 0.03968253968253968
13. Franklin 0.03968253968253968
15. Francis 0.03439153439153439
16. Benezet 0.031746031746031744
16. Macauley 0.031746031746031744
18. Ogilvie 0.0291005291005291
19. Witherspoon 0.023809523809523808
20. Dickinson 0.021164021164021163
21. Rush 0.018518518518518517
22. Wesley 0.015873015873015872
23. Wollstonecraft 0.013227513227513227
24. Cassandra 0.010582010582010581
25. Lafayette 0.007936507936507936
26. Woolman 0.005291005291005291
27. Hopkins 0.0026455026455026454


Letter III.txt /Users/Sean/Documents/College/Research/Thomas Paine/Test Files/Junius/Letter III.txt
Canonicizers: none
EventDriver: Lexical Frequencies 
Analysis: WEKA SMO r : Polynomial, c : 1, e : 1, f : false, v : -1, g : 0.01, n : normalize, o : false 
1. Francis 0.07142857142857142
2. Burke 0.06878306878306878
3. Wilkes 0.06613756613756613
4. Paine 0.06349206349206349
5. Lafayette 0.06084656084656084
6. Moore 0.0582010582010582
7. Wesley 0.05555555555555555
8. Burgh 0.05291005291005291
9. Witherspoon 0.05026455026455026
10. Priestley 0.04497354497354497
11. Jefferson 0.042328042328042326
11. Adams 0.042328042328042326
13. Franklin 0.03968253968253968
14. Spence 0.037037037037037035
14. Hopkinson 0.037037037037037035
16. Price 0.031746031746031744
17. Cartwright 0.0291005291005291
18. Benezet 0.023809523809523808
18. Cassandra 0.023809523809523808
18. Dickinson 0.023809523809523808
21. Rush 0.021164021164021163
22. Macauley 0.015873015873015872
23. Wollstonecraft 0.013227513227513227
24. Mackintosh 0.010582010582010581
25. Woolman 0.007936507936507936
26. Ogilvie 0.005291005291005291
27. Hopkins 0.0026455026455026454


