DEDICATION TO THE ENGLISH NATION.txt /Users/Sean/Documents/College/Research/Thomas Paine/Test Files/Junius/DEDICATION TO THE ENGLISH NATION.txt
Canonicizers: none
EventDriver: Vowel-initial Words 
Analysis: WEKA Multilayer Perceptron 
1. Franklin 0.8890761710308784
2. Price 0.0357184893863582
3. Burke 0.020415697648563585
4. Dickinson 0.01866696666640562
5. Priestley 0.014101610934643488
6. Adams 0.01013044953940925
7. Francis 0.005626920415803409
8. Wesley 0.0019469502314122381
9. Cartwright 7.398896490410271E-4
10. Wilkes 6.252765622167595E-4
11. Witherspoon 4.429605299089973E-4
12. Burgh 3.4509973069136974E-4
13. Moore 2.7821349877434103E-4
14. Cassandra 1.634788234309932E-4
15. Mackintosh 1.5859117534272753E-4
16. Paine 1.0049380016285071E-4
17. Hopkins 5.493733591799882E-5
18. Lafayette 4.286315012747367E-5
19. Rush 3.6056512525254274E-5
20. Jefferson 7.66395297094803E-6
21. Woolman 6.655407316255103E-6
22. Spence 5.385031095285238E-6
23. Wollstonecraft 4.368555595470337E-6
24. Benezet 1.571955492326533E-6
25. Macauley 3.3119575309531593E-7
26. Ogilvie 2.4835630440172583E-7
27. Hopkinson 6.716111523371925E-9


junius letters X and XI.txt /Users/Sean/Documents/College/Research/Thomas Paine/Test Files/Junius/junius letters X and XI.txt
Canonicizers: none
EventDriver: Vowel-initial Words 
Analysis: WEKA Multilayer Perceptron 
1. Moore 0.3709241442854936
2. Wesley 0.2361158315142215
3. Paine 0.18200725257495992
4. Spence 0.14107380031859815
5. Cassandra 0.02957586506103975
6. Adams 0.013011092085217127
7. Wilkes 0.004279213232973606
8. Witherspoon 0.003409992795671769
9. Franklin 0.0033449425291327134
10. Cartwright 0.0020675746701848915
11. Francis 0.0018736351470147188
12. Hopkins 0.0013689529926790176
13. Wollstonecraft 0.0012189127982673677
14. Lafayette 0.0011369604990680167
15. Macauley 9.84788796077149E-4
16. Burgh 6.708943066767887E-4
17. Benezet 3.4350250279102656E-4
18. Hopkinson 2.4619366703416414E-4
19. Ogilvie 1.5645495749614229E-4
20. Dickinson 5.5621338587234017E-5
21. Rush 4.291622967561699E-5
22. Price 3.130980401492508E-5
23. Woolman 2.9574801306564727E-5
24. Jefferson 2.6782671878921462E-5
25. Priestley 1.1929274990449113E-5
26. Burke 6.582543765573968E-6
27. Mackintosh 2.689416614707557E-6


Letter I.txt /Users/Sean/Documents/College/Research/Thomas Paine/Test Files/Junius/Letter I.txt
Canonicizers: none
EventDriver: Vowel-initial Words 
Analysis: WEKA Multilayer Perceptron 
1. Mackintosh 0.7988690564460538
2. Adams 0.06514680318120489
3. Price 0.06251347270278829
4. Franklin 0.01251283594721679
5. Moore 0.010704197367828424
6. Wilkes 0.009862584180698047
7. Benezet 0.009451824848992579
8. Dickinson 0.0059623550686191415
9. Priestley 0.0054593761555779075
10. Macauley 0.0047327162522304575
11. Wollstonecraft 0.003590335447012539
12. Cartwright 0.0032595467718835704
13. Rush 0.0011727571376333298
14. Lafayette 3.398467385177716E-4
15. Francis 2.418523939391339E-4
16. Wesley 2.0349536775842296E-4
17. Burgh 2.0086587887796056E-4
18. Paine 1.5254396309508352E-4
19. Ogilvie 1.0986241287548204E-4
20. Jefferson 7.365028761172257E-5
21. Witherspoon 6.621693608275502E-5
22. Woolman 4.339588977482957E-5
23. Spence 3.5669422241045934E-5
24. Hopkins 2.547911669537477E-5
25. Burke 1.774105101982176E-5
26. Cassandra 5.180071353880961E-6
27. Hopkinson 3.961888863207997E-9


Letter III.txt /Users/Sean/Documents/College/Research/Thomas Paine/Test Files/Junius/Letter III.txt
Canonicizers: none
EventDriver: Vowel-initial Words 
Analysis: WEKA Multilayer Perceptron 
1. Burke 0.8072955377532154
2. Wesley 0.07346936306391426
3. Wilkes 0.05159578000606571
4. Priestley 0.020860564987099994
5. Francis 0.018846577335285955
6. Spence 0.01475937870129573
7. Lafayette 0.0039291775115607675
8. Witherspoon 0.0021728330060116763
9. Woolman 0.0019295534408142097
10. Burgh 8.022913609574756E-4
11. Franklin 7.733093932525317E-4
12. Macauley 6.311529498439036E-4
13. Hopkins 6.28652730530645E-4
14. Ogilvie 1.8490642061717944E-4
15. Rush 1.576534064309443E-4
16. Moore 7.533749820448917E-5
17. Jefferson 3.8905931261764746E-5
18. Hopkinson 2.32433373781114E-5
19. Cassandra 2.0921947967419923E-5
20. Dickinson 1.3878327785372783E-5
21. Cartwright 9.96025508748289E-6
22. Mackintosh 8.754407758101899E-6
23. Price 5.324023606240938E-6
24. Paine 3.43807590064157E-6
25. Adams 1.6270673894991502E-6
26. Benezet 1.272482447512772E-6
27. Wollstonecraft 1.1884502566472572E-6


LETTER IX.txt /Users/Sean/Documents/College/Research/Thomas Paine/Test Files/Junius/LETTER IX.txt
Canonicizers: none
EventDriver: Vowel-initial Words 
Analysis: WEKA Multilayer Perceptron 
1. Witherspoon 0.6214461327004404
2. Spence 0.192889885918378
3. Cartwright 0.058178491745208186
4. Wilkes 0.052137923603726856
5. Lafayette 0.032799100634538975
6. Wesley 0.018602913888200547
7. Moore 0.014224592879547786
8. Francis 0.005470474134109504
9. Burke 9.61158121630199E-4
10. Benezet 6.916453222237056E-4
11. Priestley 6.211594461048784E-4
12. Ogilvie 1.5746714558188718E-4
13. Rush 1.4878152450845044E-4
14. Woolman 1.3930373103511416E-4
15. Dickinson 8.186039565901695E-5
16. Paine 8.129350133611792E-5
17. Cassandra 2.9827357391269683E-5
18. Franklin 1.9684694703638043E-5
19. Macauley 1.1879284848924215E-5
20. Hopkinson 5.6740650168703905E-6
21. Hopkins 5.424554939857398E-6
22. Wollstonecraft 2.7759799952910068E-6
23. Jefferson 1.9051643139577338E-6
24. Price 1.3415277868129005E-6
25. Adams 6.764867715260723E-7
26. Burgh 5.10937951357434E-7
27. Mackintosh 2.631398307714153E-7


LETTER V.txt /Users/Sean/Documents/College/Research/Thomas Paine/Test Files/Junius/LETTER V.txt
Canonicizers: none
EventDriver: Vowel-initial Words 
Analysis: WEKA Multilayer Perceptron 
1. Franklin 0.7030079046996994
2. Francis 0.1174502764272097
3. Wesley 0.050562920444301995
4. Wilkes 0.04272678465718265
5. Burgh 0.020309498153462145
6. Adams 0.0199367345588903
7. Priestley 0.016111961532370312
8. Spence 0.010821374246366571
9. Burke 0.008227408613551212
10. Moore 0.0034570528823964558
11. Witherspoon 0.0027837340202839064
12. Rush 8.156323084483228E-4
13. Woolman 7.924141327467034E-4
14. Price 4.250003252879527E-4
15. Hopkins 2.2340383363676948E-4
16. Paine 2.0127508895481628E-4
17. Jefferson 1.9288468344230545E-4
18. Lafayette 1.6580813303791823E-4
19. Mackintosh 5.41155105659601E-5
20. Macauley 2.1266054149283696E-5
21. Ogilvie 8.959863503519572E-6
22. Cassandra 6.018531777592595E-6
23. Dickinson 4.099260247382442E-6
24. Benezet 2.7106574544383135E-6
25. Wollstonecraft 7.808268059682278E-7
26. Cartwright 3.83596930526255E-7
27. Hopkinson 4.959685554107844E-9


