DEDICATION TO THE ENGLISH NATION.txt /Users/Sean/Documents/College/Research/Thomas Paine/Test Files/Junius/DEDICATION TO THE ENGLISH NATION.txt
Canonicizers: none
EventDriver: Vowel-initial Words 
Analysis: WEKA SMO r : Polynomial, c : 1, e : 1, f : false, v : -1, g : 0.01, n : normalize, o : false 
1. Franklin 0.07142857142857142
2. Priestley 0.06613756613756613
3. Burke 0.06349206349206349
4. Adams 0.06084656084656084
5. Price 0.05555555555555555
5. Cartwright 0.05555555555555555
7. Hopkinson 0.05291005291005291
8. Wilkes 0.05026455026455026
8. Burgh 0.05026455026455026
10. Paine 0.047619047619047616
10. Dickinson 0.047619047619047616
10. Wesley 0.047619047619047616
13. Witherspoon 0.03968253968253968
13. Francis 0.03968253968253968
15. Rush 0.037037037037037035
15. Moore 0.037037037037037035
17. Jefferson 0.0291005291005291
18. Mackintosh 0.026455026455026454
19. Benezet 0.023809523809523808
20. Spence 0.021164021164021163
21. Wollstonecraft 0.015873015873015872
21. Ogilvie 0.015873015873015872
23. Cassandra 0.013227513227513227
24. Lafayette 0.010582010582010581
24. Hopkins 0.010582010582010581
26. Macauley 0.007936507936507936
27. Woolman 0.0026455026455026454


junius letters X and XI.txt /Users/Sean/Documents/College/Research/Thomas Paine/Test Files/Junius/junius letters X and XI.txt
Canonicizers: none
EventDriver: Vowel-initial Words 
Analysis: WEKA SMO r : Polynomial, c : 1, e : 1, f : false, v : -1, g : 0.01, n : normalize, o : false 
1. Paine 0.06878306878306878
1. Hopkinson 0.06878306878306878
3. Spence 0.06613756613756613
4. Wilkes 0.06349206349206349
4. Wesley 0.06349206349206349
6. Moore 0.0582010582010582
7. Cartwright 0.05555555555555555
8. Witherspoon 0.05291005291005291
9. Benezet 0.05026455026455026
10. Burke 0.047619047619047616
11. Franklin 0.042328042328042326
12. Adams 0.03968253968253968
13. Priestley 0.037037037037037035
13. Cassandra 0.037037037037037035
15. Francis 0.03439153439153439
16. Jefferson 0.031746031746031744
17. Price 0.0291005291005291
18. Burgh 0.026455026455026454
18. Dickinson 0.026455026455026454
20. Macauley 0.023809523809523808
21. Lafayette 0.018518518518518517
22. Wollstonecraft 0.013227513227513227
22. Ogilvie 0.013227513227513227
22. Hopkins 0.013227513227513227
25. Rush 0.010582010582010581
26. Mackintosh 0.005291005291005291
27. Woolman 0.0026455026455026454


Letter I.txt /Users/Sean/Documents/College/Research/Thomas Paine/Test Files/Junius/Letter I.txt
Canonicizers: none
EventDriver: Vowel-initial Words 
Analysis: WEKA SMO r : Polynomial, c : 1, e : 1, f : false, v : -1, g : 0.01, n : normalize, o : false 
1. Mackintosh 0.07142857142857142
2. Paine 0.06084656084656084
2. Burke 0.06084656084656084
2. Cartwright 0.06084656084656084
5. Hopkinson 0.0582010582010582
6. Benezet 0.05555555555555555
6. Franklin 0.05555555555555555
8. Price 0.05291005291005291
9. Adams 0.05026455026455026
10. Priestley 0.047619047619047616
10. Burgh 0.047619047619047616
10. Moore 0.047619047619047616
10. Dickinson 0.047619047619047616
14. Wilkes 0.042328042328042326
15. Macauley 0.03439153439153439
16. Ogilvie 0.031746031746031744
17. Jefferson 0.0291005291005291
18. Wollstonecraft 0.023809523809523808
18. Witherspoon 0.023809523809523808
20. Francis 0.021164021164021163
21. Spence 0.015873015873015872
21. Wesley 0.015873015873015872
23. Lafayette 0.013227513227513227
23. Rush 0.013227513227513227
25. Hopkins 0.010582010582010581
26. Cassandra 0.005291005291005291
27. Woolman 0.0026455026455026454


Letter III.txt /Users/Sean/Documents/College/Research/Thomas Paine/Test Files/Junius/Letter III.txt
Canonicizers: none
EventDriver: Vowel-initial Words 
Analysis: WEKA SMO r : Polynomial, c : 1, e : 1, f : false, v : -1, g : 0.01, n : normalize, o : false 
1. Burke 0.07142857142857142
2. Wesley 0.06878306878306878
3. Francis 0.06349206349206349
4. Wilkes 0.06084656084656084
4. Franklin 0.06084656084656084
6. Hopkinson 0.05555555555555555
7. Spence 0.05291005291005291
7. Lafayette 0.05291005291005291
9. Burgh 0.05026455026455026
10. Paine 0.047619047619047616
10. Witherspoon 0.047619047619047616
10. Hopkins 0.047619047619047616
13. Priestley 0.042328042328042326
14. Cartwright 0.037037037037037035
15. Adams 0.03439153439153439
16. Benezet 0.026455026455026454
16. Dickinson 0.026455026455026454
18. Moore 0.023809523809523808
18. Cassandra 0.023809523809523808
20. Wollstonecraft 0.021164021164021163
21. Macauley 0.018518518518518517
21. Jefferson 0.018518518518518517
23. Price 0.015873015873015872
24. Ogilvie 0.013227513227513227
25. Woolman 0.010582010582010581
26. Rush 0.005291005291005291
27. Mackintosh 0.0026455026455026454


LETTER IX.txt /Users/Sean/Documents/College/Research/Thomas Paine/Test Files/Junius/LETTER IX.txt
Canonicizers: none
EventDriver: Vowel-initial Words 
